K_value,Distance_Metric,MPJSE,PCK,Retrieval_Time
2,jaccard,132.073,0.0125862768980918,43.1128657
4,euclidean,18.13215,0.947015834348356,30.1047472
4,cityblock,18.80718,0.930775477060495,30.102474
4,minkowski,18.13215,0.947015834348356,30.2673551
4,chebychev,20.04014,0.902963865205034,31.1121274
4,seuclidean,212.4148,0.0146163215590743,36.6794768
4,cosine,18.40114,0.938185140073082,31.0940088
4,spearman,22.63692,0.833434835566382,40.6663744
4,hamming,148.6519,0.00883069427527406,31.8567456
4,jaccard,148.6519,0.00883069427527406,38.8356127
8,euclidean,19.1832,0.925192854242793,27.6660624
8,cityblock,19.87999,0.909307754770605,27.4466352
8,minkowski,19.1832,0.925192854242793,30.2220292
8,chebychev,21.18848,0.880836378400325,31.0483304
8,seuclidean,212.3685,0.0146163215590743,36.8475236
8,cosine,19.49786,0.919407226958993,29.7230228
8,spearman,23.78338,0.80349167681689,36.1147565
8,hamming,173.5124,0.00954120990661795,34.2521718
8,jaccard,173.5124,0.00954120990661795,43.6090647
16,euclidean,20.59462,0.892585261875761,30.5946083
16,cityblock,21.31497,0.876903166869671,30.2476903
16,minkowski,20.59462,0.892585261875761,30.401008
16,chebychev,22.75183,0.842367032074706,31.4620036
16,seuclidean,212.2752,0.0146163215590743,37.3677772
16,cosine,20.98318,0.888575923670321,29.6345072
16,spearman,25.48384,0.753045066991474,36.369435
16,hamming,192.6768,0.0116981323589119,34.4607877
16,jaccard,192.6768,0.0116981323589119,44.2094059
32,euclidean,22.36043,0.853278522127487,30.4898524
32,cityblock,23.16435,0.828892610637434,30.1771151
32,minkowski,22.36043,0.853278522127487,30.3265011
32,chebychev,24.69724,0.783673365814048,31.4007727
32,seuclidean,196.4185,0.00999796995533902,37.147937
32,cosine,22.85876,0.84619874137231,29.736206
32,spearman,27.66593,0.687335058871295,36.1765092
32,hamming,196.0064,0.0108353633779943,34.5224689
32,jaccard,196.0064,0.0108353633779943,44.0649803
64,euclidean,24.43287,0.795238276492083,30.3332466
64,cityblock,25.33308,0.762776593585059,30.3301816
64,minkowski,24.43287,0.795238276492083,30.3733673
64,chebychev,26.97767,0.700574756394641,31.4218912
64,seuclidean,139.5393,0.00695290296386521,37.1191984
64,cosine,25.13841,0.785367184328055,31.7031608
64,spearman,30.16564,0.603798721071864,36.2964503
64,hamming,144.0042,0.00589981729598051,34.4500012
64,jaccard,144.0042,0.00589981729598051,44.1967416
128,euclidean,26.75361,0.716869036743808,30.4375729
128,cityblock,27.76781,0.675433922046285,30.3123681
128,minkowski,26.75361,0.716869036743808,30.4090665
128,chebychev,29.51794,0.601153319123021,31.547154
128,seuclidean,114.8417,0.00643270401948843,37.1761329
128,cosine,27.73179,0.703730841453512,29.7220635
128,spearman,33.04303,0.509001979293544,36.3019559
128,hamming,116.4257,0.00667377182298011,34.502176
128,jaccard,116.4257,0.00667377182298011,44.5336891
256,euclidean,29.28566,0.602923264311815,30.5294602
256,cityblock,30.41911,0.569167427933415,30.4860478
256,minkowski,29.28566,0.602923264311815,30.4049752
256,chebychev,32.29954,0.493308782480715,31.5257912
256,seuclidean,99.0382,0.0223035297401543,37.2786597
256,cosine,30.59037,0.593589816788469,29.8617952
256,spearman,36.19552,0.412920599878197,36.1978394
256,hamming,99.86086,0.0221227288875355,34.5026126
256,jaccard,99.86086,0.0221227288875355,44.1975358
512,euclidean,32.05822,0.473437341402761,30.5105296
512,cityblock,33.28082,0.453209056536744,30.3131622
512,minkowski,32.05822,0.473437341402761,30.3535478
512,chebychev,35.37029,0.384078898954527,31.7094192
512,seuclidean,95.40238,0.0268552705034511,37.3602751
512,cosine,33.71264,0.462161077699959,29.7119435
512,spearman,39.54148,0.319772476400731,36.4513849
512,hamming,95.95049,0.0267244277811612,34.5883439
512,jaccard,95.95049,0.0267244277811612,43.9698262
1024,euclidean,35.17396,0.367531656008932,30.6291408
1024,cityblock,36.49312,0.343439545904385,30.5263006
1024,minkowski,35.17396,0.367531656008932,30.8055771
1024,chebychev,38.76243,0.277277932145757,31.8720243
1024,seuclidean,86.23548,0.0389863733252132,37.1835515
1024,cosine,37.21396,0.348110631090134,29.9258835
1024,spearman,43.10284,0.233810790321762,36.6233106
1024,hamming,86.48088,0.0389768574908648,34.7273383
1024,jaccard,86.48088,0.0389768574908648,43.9733752
2048,euclidean,38.73651,0.234490974231121,31.1203563
2048,cityblock,40.20272,0.223592568450568,30.8208863
2048,minkowski,38.73651,0.234490974231121,30.9528619
2048,chebychev,42.54109,0.179337793087698,32.2039032
2048,seuclidean,90.57653,0.0347478621092164,37.175767
2048,cosine,41.13619,0.22350752068108,30.4188788
2048,spearman,46.93713,0.157096314517357,36.9843201
2048,hamming,90.43307,0.0347232795371498,34.6141676
2048,jaccard,90.43307,0.0347232795371498,44.0773861
4096,euclidean,42.82148,0.118986983924584,31.5848999
4096,cityblock,44.4929,0.118847120984318,31.4368639
4096,minkowski,42.82148,0.118986983924584,31.6192016
4096,chebychev,46.73061,0.103980017540855,33.099465
4096,seuclidean,94.1914,0.0292144044356476,37.3708544
4096,cosine,45.46748,0.118986983924584,31.2156816
4096,spearman,50.9813,0.0969697222010759,37.8414543
4096,hamming,94.23094,0.0292194597226451,34.6144015
4096,jaccard,94.23094,0.0292194597226451,44.1807248
