K_value,Distance_Metric,MPJSE,PCK,Retrieval_Time
2,chebychev,19.32695,0.917377182298011,4.2882938
4,euclidean,18.13215,0.947015834348356,22.4290659
4,cityblock,18.80718,0.930775477060495,92.8934087
4,minkowski,18.13215,0.947015834348356,21.8669626
4,chebychev,20.04014,0.902963865205034,5.4727979
8,euclidean,19.1832,0.925192854242793,26.8536263
8,cityblock,19.87999,0.909307754770605,100.0249318
8,minkowski,19.1832,0.925192854242793,27.0639324
8,chebychev,21.18848,0.880836378400325,7.6010088
16,euclidean,20.59462,0.892585261875761,35.3623389
16,cityblock,21.31497,0.876903166869671,107.2044312
16,minkowski,20.59462,0.892585261875761,31.0693843
16,chebychev,22.75183,0.842367032074706,8.4256115
32,euclidean,22.36043,0.853278522127487,33.8163432
32,cityblock,23.16435,0.828892610637434,112.6602195
32,minkowski,22.36043,0.853278522127487,35.209246
32,chebychev,24.69724,0.783673365814048,10.247637
64,euclidean,24.43287,0.795238276492083,44.2905379
64,cityblock,25.33308,0.762776593585059,106.3789868
64,minkowski,24.43287,0.795238276492083,38.4484524
64,chebychev,26.97767,0.700574756394641,12.0398265
128,euclidean,26.75361,0.716869036743808,42.9668222
128,cityblock,27.76781,0.675433922046285,122.092739
128,minkowski,26.75361,0.716869036743808,55.3579364
128,chebychev,29.51794,0.601153319123021,16.4793916
256,euclidean,29.28566,0.602923264311815,46.7573293
256,cityblock,30.41911,0.569167427933415,116.4165435
256,minkowski,29.28566,0.602923264311815,47.1963563
256,chebychev,32.29954,0.493308782480715,18.6798669
512,euclidean,32.05822,0.473437341402761,55.004066
512,cityblock,33.28082,0.453209056536744,136.3501451
512,minkowski,32.05822,0.473437341402761,58.2036173
512,chebychev,35.37029,0.384078898954527,25.1105769
1024,euclidean,35.17396,0.367531656008932,63.8536196
1024,cityblock,36.49312,0.343439545904385,122.8602365
1024,minkowski,35.17396,0.367531656008932,55.1236679
1024,chebychev,38.76243,0.277277932145757,25.7894304
